county,site,total,dem,rep,estimated,basis,source
Dallas,Dallas County Records Bldg,2337,2071,266,,primary 2026,https://www.dallascountyvotes.org/wp-content/uploads/2026/02/Early-Voting-Turnout-By-Date-Location-Party-Report_02.28.26.xlsx
Williamson,Georgetown City Hall,2336,,,,primary 2026,https://www.wilcotx.gov/DocumentCenter/View/18720/Unofficial-Early-Voting-Summary-for-the-March-3-2026-Primary
Dallas,Islamic Association of North Texas,2296,1848,448,,primary 2026,https://www.dallascountyvotes.org/wp-content/uploads/2026/02/Early-Voting-Turnout-By-Date-Location-Party-Report_02.28.26.xlsx
Bexar,Claude Black Community Center,2292,2177,115,,primary 2026,https://earlyvotecounts.bexar.org/ (Wayback capture http://web.archive.org/web/20260306200258/https://earlyvotecounts.bexar.org/)
Denton,Frisco Government Center,2276,,,yes,Nov 2024 general x0.31,votedenton.gov 1124_11-01_ev_by_day_poll_pad.pdf
Dallas,Florence Recreation Center,2271,1523,748,,primary 2026,https://www.dallascountyvotes.org/wp-content/uploads/2026/02/Early-Voting-Turnout-By-Date-Location-Party-Report_02.28.26.xlsx
Webb,Laredo Medical,2264,1982,282,,primary 2026,https://www.webbcountytx.gov/DocumentCenter/View/2280/Daily-Totals-PDF
Bexar,Kirby City Hall,2261,1721,540,,primary 2026,https://earlyvotecounts.bexar.org/ (Wayback capture http://web.archive.org/web/20260306200258/https://earlyvotecounts.bexar.org/)
Travis,Cepeda Branch Library,2244,2128,116,,primary 2026,https://votetravis.gov/wp-content/uploads/P26-Daily-Totals-1.zip
Collin,The Grove at Frisco Commons,2232,1067,,yes,Dem primary only; total est. x2.09,talarico-archive tag
Dallas,Kiest Recreation Center,2216,2051,165,,primary 2026,https://www.dallascountyvotes.org/wp-content/uploads/2026/02/Early-Voting-Turnout-By-Date-Location-Party-Report_02.28.26.xlsx
Denton,Trophy Club MUD No. 1 Building,2208,,,yes,Nov 2024 general x0.31,votedenton.gov 1124_11-01_ev_by_day_poll_pad.pdf
Denton,Artesia Community Center,2173,,,yes,Nov 2024 general x0.31,votedenton.gov 1124_11-01_ev_by_day_poll_pad.pdf
Dallas,Irving Arts Center,2170,1290,880,,primary 2026,https://www.dallascountyvotes.org/wp-content/uploads/2026/02/Early-Voting-Turnout-By-Date-Location-Party-Report_02.28.26.xlsx
Tarrant,Haltom City Senior Center,2161,1057,1104,,primary 2026,https://www.tarrantcountytx.gov/content/dam/main/elections/2026/pm26/ev_reports/Early_Voting_Daily_Totals.pdf
Webb,Billy Hall Admin,2161,1924,237,,primary 2026,https://www.webbcountytx.gov/DocumentCenter/View/2280/Daily-Totals-PDF
Travis,Riverbend Centre,2140,1264,876,,primary 2026,https://votetravis.gov/wp-content/uploads/P26-Daily-Totals-1.zip
Fort Bend,FBC ESD NO. 4 ADMIN BLDG,2130,480,1650,,primary 2026,https://www.fortbendcountytx.gov/sites/default/files/document-central/document-central/elections-documents/elections-results/2026/Early-Voting-by-Personal-Appearance-Statistics_9.xlsx
Dallas,Highland Hills Library,2120,2087,33,,primary 2026,https://www.dallascountyvotes.org/wp-content/uploads/2026/02/Early-Voting-Turnout-By-Date-Location-Party-Report_02.28.26.xlsx
Williamson,Park at Crystal Falls,2108,,,,primary 2026,https://www.wilcotx.gov/DocumentCenter/View/18720/Unofficial-Early-Voting-Summary-for-the-March-3-2026-Primary
Denton,Denton County Elections Administration,2103,,,yes,Nov 2024 general x0.31,votedenton.gov 1124_11-01_ev_by_day_poll_pad.pdf
Denton,Castle Hills Community Center,2093,,,yes,Nov 2024 general x0.31,votedenton.gov 1124_11-01_ev_by_day_poll_pad.pdf
Collin,Frisco Fire Station #5,2088,998,,yes,Dem primary only; total est. x2.09,talarico-archive tag
Nueces,Greenwood Senior Center,2079,1735,344,,primary 2026,https://www.nuecesco.com/home/showpublisheddocument/33305/639092555266430000
Harris,BakerRipley East Aldine Campus,2073,1741,332,yes,"primary thru 2/25, scaled x1.58/x1.49",http://web.archive.org/web/20260226212822/https://appfiles.harrisvotes.com/harrisvotes/prd/docs/Uploads/EVPA_unofficial.pdf
Dallas,Glenn Heights Family Center,2066,1880,186,,primary 2026,https://www.dallascountyvotes.org/wp-content/uploads/2026/02/Early-Voting-Turnout-By-Date-Location-Party-Report_02.28.26.xlsx
Harris,FountainLife Center,2064,1903,161,yes,"primary thru 2/25, scaled x1.58/x1.49",http://web.archive.org/web/20260226212822/https://appfiles.harrisvotes.com/harrisvotes/prd/docs/Uploads/EVPA_unofficial.pdf
Brazoria,Keith Traylor Criminal,2049,1128,921,,primary 2026,https://www.brazoriacountyclerktx.gov/home/showpublisheddocument/29250/639078286362930000 (DEM; via web.archive.org/web/20260306001741) ; https://www.brazoriacountyclerktx.gov/home/showpublisheddocument/29248/639078206102900000 (REP; via web.archive.org/web/20260306001833)
Fort Bend,FIRETHORNE CLUBOUSE,2046,868,1178,,primary 2026,https://www.fortbendcountytx.gov/sites/default/files/document-central/document-central/elections-documents/elections-results/2026/Early-Voting-by-Personal-Appearance-Statistics_9.xlsx
Travis,Christ Our Savior Lutheran Church,2046,770,1276,,primary 2026,https://votetravis.gov/wp-content/uploads/P26-Daily-Totals-1.zip
Bexar,Woodlawn Pointe Center Community,2043,1812,231,,primary 2026,https://earlyvotecounts.bexar.org/ (Wayback capture http://web.archive.org/web/20260306200258/https://earlyvotecounts.bexar.org/)
Brazoria,Brazoria,2039,482,1557,,primary 2026,https://www.brazoriacountyclerktx.gov/home/showpublisheddocument/29250/639078286362930000 (DEM; via web.archive.org/web/20260306001741) ; https://www.brazoriacountyclerktx.gov/home/showpublisheddocument/29248/639078206102900000 (REP; via web.archive.org/web/20260306001833)
Nueces,Ethel Eyerly Senior Center,2039,652,1387,,primary 2026,https://www.nuecesco.com/home/showpublisheddocument/33305/639092555266430000
Travis,LBJ School of Public Affairs,2039,1922,117,,primary 2026,https://votetravis.gov/wp-content/uploads/P26-Daily-Totals-1.zip
Denton,University of North Texas-Gateway Center,2034,,,yes,Nov 2024 general x0.31,votedenton.gov 1124_11-01_ev_by_day_poll_pad.pdf
Bexar,Cortez Branch Library,2024,1640,384,,primary 2026,https://earlyvotecounts.bexar.org/ (Wayback capture http://web.archive.org/web/20260306200258/https://earlyvotecounts.bexar.org/)
Collin,Collin College Higher Education Center,2009,960,,yes,Dem primary only; total est. x2.09,talarico-archive tag
Fort Bend,MEADOWS PLACE CITY HALL,2005,1156,849,,primary 2026,https://www.fortbendcountytx.gov/sites/default/files/document-central/document-central/elections-documents/elections-results/2026/Early-Voting-by-Personal-Appearance-Statistics_9.xlsx
Williamson,Spicewood Springs Library,2003,,,,primary 2026,https://www.wilcotx.gov/DocumentCenter/View/18720/Unofficial-Early-Voting-Summary-for-the-March-3-2026-Primary
Hidalgo,"Pct.3 ""The Mansion""",1986,1653,333,,primary 2026,https://www.hidalgocounty.us/DocumentCenter/View/72057/EV-SUBS
El Paso,Gary Del Palacio Recreation Center,1985,1455,530,,primary 2026,https://ep-county-elections-production.s3.amazonaws.com/documents/files/000/006/527/original/DEM_Early_Voting_Statistics.pdf ; https://ep-county-elections-production.s3.amazonaws.com/documents/files/000/006/525/original/REP_Early_Voting_Statistics.pdf
Denton,Sanger Community Center,1985,,,yes,Nov 2024 general x0.31,votedenton.gov 1124_11-01_ev_by_day_poll_pad.pdf
Harris,John Phelps Courthouse,1982,1383,599,yes,"primary thru 2/25, scaled x1.58/x1.49",http://web.archive.org/web/20260226212822/https://appfiles.harrisvotes.com/harrisvotes/prd/docs/Uploads/EVPA_unofficial.pdf
Williamson,Hartfield Pac At McNeil HS,1967,,,,primary 2026,https://www.wilcotx.gov/DocumentCenter/View/18720/Unofficial-Early-Voting-Summary-for-the-March-3-2026-Primary
Collin,Melissa City Hall,1967,940,,yes,Dem primary only; total est. x2.09,talarico-archive tag
Tarrant,Azle ISD PD,1935,526,1409,,primary 2026,https://www.tarrantcountytx.gov/content/dam/main/elections/2026/pm26/ev_reports/Early_Voting_Daily_Totals.pdf
Dallas,Vietnamese Community Center,1913,877,1036,,primary 2026,https://www.dallascountyvotes.org/wp-content/uploads/2026/02/Early-Voting-Turnout-By-Date-Location-Party-Report_02.28.26.xlsx
Tarrant,Tarrant County Election Center,1890,1467,423,,primary 2026,https://www.tarrantcountytx.gov/content/dam/main/elections/2026/pm26/ev_reports/Early_Voting_Daily_Totals.pdf
Collin,Collin College Celina Campus,1883,900,,yes,Dem primary only; total est. x2.09,talarico-archive tag
Dallas,Our Redeemer Lutheran Church-GP,1875,1328,547,,primary 2026,https://www.dallascountyvotes.org/wp-content/uploads/2026/02/Early-Voting-Turnout-By-Date-Location-Party-Report_02.28.26.xlsx
Dallas,Dallas College-Eastfield Campus,1874,1631,243,,primary 2026,https://www.dallascountyvotes.org/wp-content/uploads/2026/02/Early-Voting-Turnout-By-Date-Location-Party-Report_02.28.26.xlsx
Denton,Northlake Town Hall,1869,,,yes,Nov 2024 general x0.31,votedenton.gov 1124_11-01_ev_by_day_poll_pad.pdf
Brazoria,West Columbia,1858,314,1544,,primary 2026,https://www.brazoriacountyclerktx.gov/home/showpublisheddocument/29250/639078286362930000 (DEM; via web.archive.org/web/20260306001741) ; https://www.brazoriacountyclerktx.gov/home/showpublisheddocument/29248/639078206102900000 (REP; via web.archive.org/web/20260306001833)
Cameron,Los Fresnos Community Center,1855,1337,518,,primary 2026,https://www.cameroncountytx.gov/elections/wp-content/uploads/2026/02/01_2026_DEMOCRATIC_PRIMARY2-27-2026.pdf ; https://www.cameroncountytx.gov/elections/wp-content/uploads/2026/02/02_2026_REPUBLICAN_PRIMARY2-27-2026.pdf
Nueces,Carroll High School,1849,1078,771,,primary 2026,https://www.nuecesco.com/home/showpublisheddocument/33305/639092555266430000
Nueces,Island Presbyterian Church,1829,416,1413,,primary 2026,https://www.nuecesco.com/home/showpublisheddocument/33305/639092555266430000
Denton,Argyle Town Hall,1828,,,yes,Nov 2024 general x0.31,votedenton.gov 1124_11-01_ev_by_day_poll_pad.pdf
Dallas,Dallas College-Brookhaven Campus,1812,1387,425,,primary 2026,https://www.dallascountyvotes.org/wp-content/uploads/2026/02/Early-Voting-Turnout-By-Date-Location-Party-Report_02.28.26.xlsx
Denton,Justin Municipal Complex,1810,,,yes,Nov 2024 general x0.31,votedenton.gov 1124_11-01_ev_by_day_poll_pad.pdf
Fort Bend,CROCKETT MIDDLE SCHOOL,1799,1371,428,,primary 2026,https://www.fortbendcountytx.gov/sites/default/files/document-central/document-central/elections-documents/elections-results/2026/Early-Voting-by-Personal-Appearance-Statistics_9.xlsx
Bexar,Collins Garden Branch Library,1782,1538,244,,primary 2026,https://earlyvotecounts.bexar.org/ (Wayback capture http://web.archive.org/web/20260306200258/https://earlyvotecounts.bexar.org/)
Bexar,Copernicus Community Center,1778,1558,220,,primary 2026,https://earlyvotecounts.bexar.org/ (Wayback capture http://web.archive.org/web/20260306200258/https://earlyvotecounts.bexar.org/)
Harris,Hockley Community Center,1763,802,961,yes,"primary thru 2/25, scaled x1.58/x1.49",http://web.archive.org/web/20260226212822/https://appfiles.harrisvotes.com/harrisvotes/prd/docs/Uploads/EVPA_unofficial.pdf
Denton,Northwest ISD Administration Bldg,1721,,,yes,Nov 2024 general x0.31,votedenton.gov 1124_11-01_ev_by_day_poll_pad.pdf
Harris,Shrine of the Black Madonna Cultural and Event Center,1718,1673,45,yes,"primary thru 2/25, scaled x1.58/x1.49",http://web.archive.org/web/20260226212822/https://appfiles.harrisvotes.com/harrisvotes/prd/docs/Uploads/EVPA_unofficial.pdf
Travis,Community Center at Del Valle,1705,1418,287,,primary 2026,https://votetravis.gov/wp-content/uploads/P26-Daily-Totals-1.zip
Bexar,Las Palmas Branch Library,1704,1488,216,,primary 2026,https://earlyvotecounts.bexar.org/ (Wayback capture http://web.archive.org/web/20260306200258/https://earlyvotecounts.bexar.org/)
Montgomery,East Montgomery County Community Development Center,1680,409,1271,,primary 2026,https://elections.mctx.org/pdf/PRI030326/rptEVDaily.pdf
Denton,Robson Ranch Clubhouse,1680,,,yes,Nov 2024 general x0.31,votedenton.gov 1124_11-01_ev_by_day_poll_pad.pdf
Collin,Lavon City Hall,1661,794,,yes,Dem primary only; total est. x2.09,talarico-archive tag
Fort Bend,ROAD AND BRIDGE (NEEDVILLE),1658,286,1372,,primary 2026,https://www.fortbendcountytx.gov/sites/default/files/document-central/document-central/elections-documents/elections-results/2026/Early-Voting-by-Personal-Appearance-Statistics_9.xlsx
Tarrant,Northside Community Center,1636,1401,235,,primary 2026,https://www.tarrantcountytx.gov/content/dam/main/elections/2026/pm26/ev_reports/Early_Voting_Daily_Totals.pdf
Dallas,Dallas College-North Lake Campus,1628,1274,354,,primary 2026,https://www.dallascountyvotes.org/wp-content/uploads/2026/02/Early-Voting-Turnout-By-Date-Location-Party-Report_02.28.26.xlsx
Hidalgo,Amigos Del Valle,1622,1282,340,,primary 2026,https://www.hidalgocounty.us/DocumentCenter/View/72057/EV-SUBS
Dallas,Sunnyvale Town Hall,1603,816,787,,primary 2026,https://www.dallascountyvotes.org/wp-content/uploads/2026/02/Early-Voting-Turnout-By-Date-Location-Party-Report_02.28.26.xlsx
Denton,Oak Point City Hall,1595,,,yes,Nov 2024 general x0.31,votedenton.gov 1124_11-01_ev_by_day_poll_pad.pdf
Denton,Denton County Southwest Courthouse,1576,,,yes,Nov 2024 general x0.31,votedenton.gov 1124_11-01_ev_by_day_poll_pad.pdf
El Paso,Oz Glaze Senior Center,1567,1086,481,,primary 2026,https://ep-county-elections-production.s3.amazonaws.com/documents/files/000/006/527/original/DEM_Early_Voting_Statistics.pdf ; https://ep-county-elections-production.s3.amazonaws.com/documents/files/000/006/525/original/REP_Early_Voting_Statistics.pdf
Collin,McKinney Fire Station #10,1540,736,,yes,Dem primary only; total est. x2.09,talarico-archive tag
El Paso,Chayo Apodaca Community Center,1521,1228,293,,primary 2026,https://ep-county-elections-production.s3.amazonaws.com/documents/files/000/006/527/original/DEM_Early_Voting_Statistics.pdf ; https://ep-county-elections-production.s3.amazonaws.com/documents/files/000/006/525/original/REP_Early_Voting_Statistics.pdf
El Paso,Enrique Moreno County Courthouse,1510,1269,241,,primary 2026,https://ep-county-elections-production.s3.amazonaws.com/documents/files/000/006/527/original/DEM_Early_Voting_Statistics.pdf ; https://ep-county-elections-production.s3.amazonaws.com/documents/files/000/006/525/original/REP_Early_Voting_Statistics.pdf
Dallas,For Oak Cliff,1498,1475,23,,primary 2026,https://www.dallascountyvotes.org/wp-content/uploads/2026/02/Early-Voting-Turnout-By-Date-Location-Party-Report_02.28.26.xlsx
Denton,Lantana Community Event Center,1485,,,yes,Nov 2024 general x0.31,votedenton.gov 1124_11-01_ev_by_day_poll_pad.pdf
Denton,Timberglen Recreation Center,1485,,,yes,Nov 2024 general x0.31,votedenton.gov 1124_11-01_ev_by_day_poll_pad.pdf
Cameron,Cameron Park Community Center (El Centro Cultural),1481,1256,225,,primary 2026,https://www.cameroncountytx.gov/elections/wp-content/uploads/2026/02/01_2026_DEMOCRATIC_PRIMARY2-27-2026.pdf ; https://www.cameroncountytx.gov/elections/wp-content/uploads/2026/02/02_2026_REPUBLICAN_PRIMARY2-27-2026.pdf
Travis,Lake Travis ISD Educational Development Center,1471,840,631,,primary 2026,https://votetravis.gov/wp-content/uploads/P26-Daily-Totals-1.zip
Denton,Krum ISD Administration Building,1464,,,yes,Nov 2024 general x0.31,votedenton.gov 1124_11-01_ev_by_day_poll_pad.pdf
Dallas,Dallas College-Mountain View Campus,1453,1338,115,,primary 2026,https://www.dallascountyvotes.org/wp-content/uploads/2026/02/Early-Voting-Turnout-By-Date-Location-Party-Report_02.28.26.xlsx
Travis,Travis County Civil and Family Courts Facility,1438,1183,255,,primary 2026,https://votetravis.gov/wp-content/uploads/P26-Daily-Totals-1.zip
Cameron,Southmost Public Library,1423,1196,227,,primary 2026,https://www.cameroncountytx.gov/elections/wp-content/uploads/2026/02/01_2026_DEMOCRATIC_PRIMARY2-27-2026.pdf ; https://www.cameroncountytx.gov/elections/wp-content/uploads/2026/02/02_2026_REPUBLICAN_PRIMARY2-27-2026.pdf
Collin,Lovejoy ISD Administration Building,1404,671,,yes,Dem primary only; total est. x2.09,talarico-archive tag
Williamson,Sonterra HOA Pool & Clubhouse,1403,,,,primary 2026,https://www.wilcotx.gov/DocumentCenter/View/18720/Unofficial-Early-Voting-Summary-for-the-March-3-2026-Primary
Dallas,Hamilton Park UMC,1398,1166,232,,primary 2026,https://www.dallascountyvotes.org/wp-content/uploads/2026/02/Early-Voting-Turnout-By-Date-Location-Party-Report_02.28.26.xlsx
El Paso,EPCC Administrative Services Center,1376,1017,359,,primary 2026,https://ep-county-elections-production.s3.amazonaws.com/documents/files/000/006/527/original/DEM_Early_Voting_Statistics.pdf ; https://ep-county-elections-production.s3.amazonaws.com/documents/files/000/006/525/original/REP_Early_Voting_Statistics.pdf
Hidalgo,Alton Recreation Center,1367,1089,278,,primary 2026,https://www.hidalgocounty.us/DocumentCenter/View/72057/EV-SUBS
Harris,Vera Brummet May Community Center,1360,222,1138,yes,"primary thru 2/25, scaled x1.58/x1.49",http://web.archive.org/web/20260226212822/https://appfiles.harrisvotes.com/harrisvotes/prd/docs/Uploads/EVPA_unofficial.pdf
Cameron,American Legion Hall,1349,858,491,,primary 2026,https://www.cameroncountytx.gov/elections/wp-content/uploads/2026/02/01_2026_DEMOCRATIC_PRIMARY2-27-2026.pdf ; https://www.cameroncountytx.gov/elections/wp-content/uploads/2026/02/02_2026_REPUBLICAN_PRIMARY2-27-2026.pdf
Hidalgo,STC Pecan Campus Building U,1329,1130,199,,primary 2026,https://www.hidalgocounty.us/DocumentCenter/View/72057/EV-SUBS
Collin,McKinney Fire Station #9,1318,630,,yes,Dem primary only; total est. x2.09,talarico-archive tag
Dallas,Seagoville City Hall,1316,925,391,,primary 2026,https://www.dallascountyvotes.org/wp-content/uploads/2026/02/Early-Voting-Turnout-By-Date-Location-Party-Report_02.28.26.xlsx
Denton,Aubrey ISD Administration Building,1308,,,yes,Nov 2024 general x0.31,votedenton.gov 1124_11-01_ev_by_day_poll_pad.pdf
Hidalgo,Mercedes Civic Center,1306,1016,290,,primary 2026,https://www.hidalgocounty.us/DocumentCenter/View/72057/EV-SUBS
Denton,Flower Mound Municipal Court,1297,,,yes,Nov 2024 general x0.31,votedenton.gov 1124_11-01_ev_by_day_poll_pad.pdf
El Paso,UTEP,1291,1151,140,,primary 2026,https://ep-county-elections-production.s3.amazonaws.com/documents/files/000/006/527/original/DEM_Early_Voting_Statistics.pdf ; https://ep-county-elections-production.s3.amazonaws.com/documents/files/000/006/525/original/REP_Early_Voting_Statistics.pdf
Cameron,Port Isabel City Hall,1272,643,629,,primary 2026,https://www.cameroncountytx.gov/elections/wp-content/uploads/2026/02/01_2026_DEMOCRATIC_PRIMARY2-27-2026.pdf ; https://www.cameroncountytx.gov/elections/wp-content/uploads/2026/02/02_2026_REPUBLICAN_PRIMARY2-27-2026.pdf
Webb,Barb Fasken,1265,1065,200,,primary 2026,https://www.webbcountytx.gov/DocumentCenter/View/2280/Daily-Totals-PDF
Dallas,Bear Creek Community Church,1257,974,283,,primary 2026,https://www.dallascountyvotes.org/wp-content/uploads/2026/02/Early-Voting-Turnout-By-Date-Location-Party-Report_02.28.26.xlsx
Denton,Castle Hills North Community Center,1245,,,yes,Nov 2024 general x0.31,votedenton.gov 1124_11-01_ev_by_day_poll_pad.pdf
Travis,Community Center at Oak Hill,1233,980,253,,primary 2026,https://votetravis.gov/wp-content/uploads/P26-Daily-Totals-1.zip
Nueces,Johnny Calderon Building,1229,810,419,,primary 2026,https://www.nuecesco.com/home/showpublisheddocument/33305/639092555266430000
Fort Bend,COMMONWEALTH CLUBHOUSE,1227,530,697,,primary 2026,https://www.fortbendcountytx.gov/sites/default/files/document-central/document-central/elections-documents/elections-results/2026/Early-Voting-by-Personal-Appearance-Statistics_9.xlsx
Hidalgo,Sgt. Rodriguez Community Center,1214,1131,83,,primary 2026,https://www.hidalgocounty.us/DocumentCenter/View/72057/EV-SUBS
El Paso,Bowling Family YMCA,1209,761,448,,primary 2026,https://ep-county-elections-production.s3.amazonaws.com/documents/files/000/006/527/original/DEM_Early_Voting_Statistics.pdf ; https://ep-county-elections-production.s3.amazonaws.com/documents/files/000/006/525/original/REP_Early_Voting_Statistics.pdf
Fort Bend,CRAWFORD HIGH SCHOOL,1206,1074,132,,primary 2026,https://www.fortbendcountytx.gov/sites/default/files/document-central/document-central/elections-documents/elections-results/2026/Early-Voting-by-Personal-Appearance-Statistics_9.xlsx
Collin,Parker City Hall,1191,569,,yes,Dem primary only; total est. x2.09,talarico-archive tag
Williamson,Hammerlun Center For Leadership And Learning,1174,,,,primary 2026,https://www.wilcotx.gov/DocumentCenter/View/18720/Unofficial-Early-Voting-Summary-for-the-March-3-2026-Primary
Hidalgo,Development and Research Center,1170,1004,166,,primary 2026,https://www.hidalgocounty.us/DocumentCenter/View/72057/EV-SUBS
Nueces,Hamlin Middle School,1165,697,468,,primary 2026,https://www.nuecesco.com/home/showpublisheddocument/33305/639092555266430000
Denton,Hickory Creek Town Hall,1163,,,yes,Nov 2024 general x0.31,votedenton.gov 1124_11-01_ev_by_day_poll_pad.pdf
Nueces,Del Mar College,1160,882,278,,primary 2026,https://www.nuecesco.com/home/showpublisheddocument/33305/639092555266430000
Denton,Bartonville Town Hall,1157,,,yes,Nov 2024 general x0.31,votedenton.gov 1124_11-01_ev_by_day_poll_pad.pdf
Dallas,Oak Gardens Church,1151,1115,36,,primary 2026,https://www.dallascountyvotes.org/wp-content/uploads/2026/02/Early-Voting-Turnout-By-Date-Location-Party-Report_02.28.26.xlsx
Hidalgo,Palm View Community Center,1151,909,242,,primary 2026,https://www.hidalgocounty.us/DocumentCenter/View/72057/EV-SUBS
Dallas,Dallas College-Cedar Valley Campus,1140,1073,67,,primary 2026,https://www.dallascountyvotes.org/wp-content/uploads/2026/02/Early-Voting-Turnout-By-Date-Location-Party-Report_02.28.26.xlsx
Harris,HCC Northline,1138,981,157,yes,"primary thru 2/25, scaled x1.58/x1.49",http://web.archive.org/web/20260226212822/https://appfiles.harrisvotes.com/harrisvotes/prd/docs/Uploads/EVPA_unofficial.pdf
Hidalgo,La Joya Youth Center,1122,1016,106,,primary 2026,https://www.hidalgocounty.us/DocumentCenter/View/72057/EV-SUBS
El Paso,SISD District Service Center,1111,855,256,,primary 2026,https://ep-county-elections-production.s3.amazonaws.com/documents/files/000/006/527/original/DEM_Early_Voting_Statistics.pdf ; https://ep-county-elections-production.s3.amazonaws.com/documents/files/000/006/525/original/REP_Early_Voting_Statistics.pdf
Collin,McKinney City Hall,1098,525,,yes,Dem primary only; total est. x2.09,talarico-archive tag
Hidalgo,Sullivan City WIC Clinic,1087,1010,77,,primary 2026,https://www.hidalgocounty.us/DocumentCenter/View/72057/EV-SUBS
Dallas,Frank Crowley Courts Building,1072,954,118,,primary 2026,https://www.dallascountyvotes.org/wp-content/uploads/2026/02/Early-Voting-Turnout-By-Date-Location-Party-Report_02.28.26.xlsx
Denton,The Vista,1050,,,yes,Nov 2024 general x0.31,votedenton.gov 1124_11-01_ev_by_day_poll_pad.pdf
Brazoria,Freeport,1046,372,674,,primary 2026,https://www.brazoriacountyclerktx.gov/home/showpublisheddocument/29250/639078286362930000 (DEM; via web.archive.org/web/20260306001741) ; https://www.brazoriacountyclerktx.gov/home/showpublisheddocument/29248/639078206102900000 (REP; via web.archive.org/web/20260306001833)
Denton,North Lakes Recreation Center,1039,,,yes,Nov 2024 general x0.31,votedenton.gov 1124_11-01_ev_by_day_poll_pad.pdf
Nueces,Texas A&M University - CC,1020,741,279,,primary 2026,https://www.nuecesco.com/home/showpublisheddocument/33305/639092555266430000
Fort Bend,MISSION BEND BRANCH LIBRARY,1004,790,214,,primary 2026,https://www.fortbendcountytx.gov/sites/default/files/document-central/document-central/elections-documents/elections-results/2026/Early-Voting-by-Personal-Appearance-Statistics_9.xlsx
Hidalgo,Palmview Recreation Center,996,865,131,,primary 2026,https://www.hidalgocounty.us/DocumentCenter/View/72057/EV-SUBS
Fort Bend,RICHMOND WATER MAINTENANCE FACILITY,993,453,540,,primary 2026,https://www.fortbendcountytx.gov/sites/default/files/document-central/document-central/elections-documents/elections-results/2026/Early-Voting-by-Personal-Appearance-Statistics_9.xlsx
Dallas,Pioneer Event Center,992,788,204,,primary 2026,https://www.dallascountyvotes.org/wp-content/uploads/2026/02/Early-Voting-Turnout-By-Date-Location-Party-Report_02.28.26.xlsx
El Paso,Kennedy Brothers Memorial Recreation Center,985,835,150,,primary 2026,https://ep-county-elections-production.s3.amazonaws.com/documents/files/000/006/527/original/DEM_Early_Voting_Statistics.pdf ; https://ep-county-elections-production.s3.amazonaws.com/documents/files/000/006/525/original/REP_Early_Voting_Statistics.pdf
El Paso,Pebble Hills High School,975,690,285,,primary 2026,https://ep-county-elections-production.s3.amazonaws.com/documents/files/000/006/527/original/DEM_Early_Voting_Statistics.pdf ; https://ep-county-elections-production.s3.amazonaws.com/documents/files/000/006/525/original/REP_Early_Voting_Statistics.pdf
El Paso,Nations Tobin Sports Center,951,668,283,,primary 2026,https://ep-county-elections-production.s3.amazonaws.com/documents/files/000/006/527/original/DEM_Early_Voting_Statistics.pdf ; https://ep-county-elections-production.s3.amazonaws.com/documents/files/000/006/525/original/REP_Early_Voting_Statistics.pdf
Collin,Lucas Community Center,948,453,,yes,Dem primary only; total est. x2.09,talarico-archive tag
Bexar,St Hedwig City Hall,937,342,595,,primary 2026,https://earlyvotecounts.bexar.org/ (Wayback capture http://web.archive.org/web/20260306200258/https://earlyvotecounts.bexar.org/)
Denton,Lake Dallas City Hall,925,,,yes,Nov 2024 general x0.31,votedenton.gov 1124_11-01_ev_by_day_poll_pad.pdf
Bexar,Somerset City Hall,918,417,501,,primary 2026,https://earlyvotecounts.bexar.org/ (Wayback capture http://web.archive.org/web/20260306200258/https://earlyvotecounts.bexar.org/)
Cameron,New Horizon Medical Center,916,782,134,,primary 2026,https://www.cameroncountytx.gov/elections/wp-content/uploads/2026/02/01_2026_DEMOCRATIC_PRIMARY2-27-2026.pdf ; https://www.cameroncountytx.gov/elections/wp-content/uploads/2026/02/02_2026_REPUBLICAN_PRIMARY2-27-2026.pdf
Cameron,Town of Rancho Viejo City Hall,910,605,305,,primary 2026,https://www.cameroncountytx.gov/elections/wp-content/uploads/2026/02/01_2026_DEMOCRATIC_PRIMARY2-27-2026.pdf ; https://www.cameroncountytx.gov/elections/wp-content/uploads/2026/02/02_2026_REPUBLICAN_PRIMARY2-27-2026.pdf
Denton,Ponder Town Hall,909,,,yes,Nov 2024 general x0.31,votedenton.gov 1124_11-01_ev_by_day_poll_pad.pdf
Denton,Pilot Point Senior Center,906,,,yes,Nov 2024 general x0.31,votedenton.gov 1124_11-01_ev_by_day_poll_pad.pdf
Denton,Flower Mound Fire Station #2,889,,,yes,Nov 2024 general x0.31,votedenton.gov 1124_11-01_ev_by_day_poll_pad.pdf
Cameron,Main Office Cameron County Judicial Complex,875,739,136,,primary 2026,https://www.cameroncountytx.gov/elections/wp-content/uploads/2026/02/01_2026_DEMOCRATIC_PRIMARY2-27-2026.pdf ; https://www.cameroncountytx.gov/elections/wp-content/uploads/2026/02/02_2026_REPUBLICAN_PRIMARY2-27-2026.pdf
Harris,City of South Houston Municipal Court,865,647,218,yes,"primary thru 2/25, scaled x1.58/x1.49",http://web.archive.org/web/20260226212822/https://appfiles.harrisvotes.com/harrisvotes/prd/docs/Uploads/EVPA_unofficial.pdf
Fort Bend,MARYAM ISLAMIC CENTER,845,749,96,,primary 2026,https://www.fortbendcountytx.gov/sites/default/files/document-central/document-central/elections-documents/elections-results/2026/Early-Voting-by-Personal-Appearance-Statistics_9.xlsx
