county,site,total,dem,rep,estimated,basis,source
Tarrant,Tarrant County Plaza Building,3244,1995,1249,,primary 2026,https://www.tarrantcountytx.gov/content/dam/main/elections/2026/pm26/ev_reports/Early_Voting_Daily_Totals.pdf
Denton,Rosemeade Recreation Center,3222,,,yes,Nov 2024 general x0.31,votedenton.gov 1124_11-01_ev_by_day_poll_pad.pdf
Harris,Raindrop Turkish House,3219,2732,487,yes,"primary thru 2/25, scaled x1.58/x1.49",http://web.archive.org/web/20260226212822/https://appfiles.harrisvotes.com/harrisvotes/prd/docs/Uploads/EVPA_unofficial.pdf
Bexar,Johnston Branch Library,3213,2303,910,,primary 2026,https://earlyvotecounts.bexar.org/ (Wayback capture http://web.archive.org/web/20260306200258/https://earlyvotecounts.bexar.org/)
El Paso,El Paso County Eastside Annex,3191,2233,958,,primary 2026,https://ep-county-elections-production.s3.amazonaws.com/documents/files/000/006/527/original/DEM_Early_Voting_Statistics.pdf ; https://ep-county-elections-production.s3.amazonaws.com/documents/files/000/006/525/original/REP_Early_Voting_Statistics.pdf
Bexar,Precinct 3 Satellite Office,3183,1622,1561,,primary 2026,https://earlyvotecounts.bexar.org/ (Wayback capture http://web.archive.org/web/20260306200258/https://earlyvotecounts.bexar.org/)
Harris,BakerRipley Pasadena Campus,3180,2134,1046,yes,"primary thru 2/25, scaled x1.58/x1.49",http://web.archive.org/web/20260226212822/https://appfiles.harrisvotes.com/harrisvotes/prd/docs/Uploads/EVPA_unofficial.pdf
Travis,Circle C Community Center,3179,2506,673,,primary 2026,https://votetravis.gov/wp-content/uploads/P26-Daily-Totals-1.zip
El Paso,YWCA-West,3172,1813,1359,,primary 2026,https://ep-county-elections-production.s3.amazonaws.com/documents/files/000/006/527/original/DEM_Early_Voting_Statistics.pdf ; https://ep-county-elections-production.s3.amazonaws.com/documents/files/000/006/525/original/REP_Early_Voting_Statistics.pdf
Travis,George Morales Dove Springs Recreation Center,3148,2876,272,,primary 2026,https://votetravis.gov/wp-content/uploads/P26-Daily-Totals-1.zip
Cameron,Harlingen Cultural Arts Center,3137,1947,1190,,primary 2026,https://www.cameroncountytx.gov/elections/wp-content/uploads/2026/02/01_2026_DEMOCRATIC_PRIMARY2-27-2026.pdf ; https://www.cameroncountytx.gov/elections/wp-content/uploads/2026/02/02_2026_REPUBLICAN_PRIMARY2-27-2026.pdf
Denton,Thrive Recreation Center,3111,,,yes,Nov 2024 general x0.31,votedenton.gov 1124_11-01_ev_by_day_poll_pad.pdf
Bexar,Guerra Branch Library,3096,2405,691,,primary 2026,https://earlyvotecounts.bexar.org/ (Wayback capture http://web.archive.org/web/20260306200258/https://earlyvotecounts.bexar.org/)
Collin,McKinney Fire Station #7,3092,1478,,yes,Dem primary only; total est. x2.09,talarico-archive tag
Travis,Austin Permitting and Development Center,3080,2917,163,,primary 2026,https://votetravis.gov/wp-content/uploads/P26-Daily-Totals-1.zip
Harris,Wyndham Houston near NRG Park Medical Center,3048,2513,535,yes,"primary thru 2/25, scaled x1.58/x1.49",http://web.archive.org/web/20260226212822/https://appfiles.harrisvotes.com/harrisvotes/prd/docs/Uploads/EVPA_unofficial.pdf
Fort Bend,KROGER RIVERSTONE,3035,1781,1254,,primary 2026,https://www.fortbendcountytx.gov/sites/default/files/document-central/document-central/elections-documents/elections-results/2026/Early-Voting-by-Personal-Appearance-Statistics_9.xlsx
Hidalgo,Bannworth Gym,3016,2069,947,,primary 2026,https://www.hidalgocounty.us/DocumentCenter/View/72057/EV-SUBS
Harris,Tom Bass Park Community Center Section Three,3014,2821,193,yes,"primary thru 2/25, scaled x1.58/x1.49",http://web.archive.org/web/20260226212822/https://appfiles.harrisvotes.com/harrisvotes/prd/docs/Uploads/EVPA_unofficial.pdf
Williamson,Taylor City Hall,3004,,,,primary 2026,https://www.wilcotx.gov/DocumentCenter/View/18720/Unofficial-Early-Voting-Summary-for-the-March-3-2026-Primary
Travis,Austin City Hall,2996,2550,446,,primary 2026,https://votetravis.gov/wp-content/uploads/P26-Daily-Totals-1.zip
El Paso,Bassett Place,2970,2374,596,,primary 2026,https://ep-county-elections-production.s3.amazonaws.com/documents/files/000/006/527/original/DEM_Early_Voting_Statistics.pdf ; https://ep-county-elections-production.s3.amazonaws.com/documents/files/000/006/525/original/REP_Early_Voting_Statistics.pdf
Brazoria,Pct. 4 North Annex,2960,2384,576,,primary 2026,https://www.brazoriacountyclerktx.gov/home/showpublisheddocument/29250/639078286362930000 (DEM; via web.archive.org/web/20260306001741) ; https://www.brazoriacountyclerktx.gov/home/showpublisheddocument/29248/639078206102900000 (REP; via web.archive.org/web/20260306001833)
Collin,McKinney Fire Station #5,2956,1413,,yes,Dem primary only; total est. x2.09,talarico-archive tag
Dallas,Paul L Dunbar Library,2938,2887,51,,primary 2026,https://www.dallascountyvotes.org/wp-content/uploads/2026/02/Early-Voting-Turnout-By-Date-Location-Party-Report_02.28.26.xlsx
Hidalgo,"Jose ""Pepe"" Salinas Center",2933,2286,647,,primary 2026,https://www.hidalgocounty.us/DocumentCenter/View/72057/EV-SUBS
Williamson,City of Georgetown Fire Station #6,2933,,,,primary 2026,https://www.wilcotx.gov/DocumentCenter/View/18720/Unofficial-Early-Voting-Summary-for-the-March-3-2026-Primary
Dallas,Mountain Creek Library,2928,2528,400,,primary 2026,https://www.dallascountyvotes.org/wp-content/uploads/2026/02/Early-Voting-Turnout-By-Date-Location-Party-Report_02.28.26.xlsx
Nueces,Hilltop Community Center,2925,1032,1893,,primary 2026,https://www.nuecesco.com/home/showpublisheddocument/33305/639092555266430000
Webb,City Hall Annex,2915,2468,447,,primary 2026,https://www.webbcountytx.gov/DocumentCenter/View/2280/Daily-Totals-PDF
Fort Bend,GREAT OAKS BAPTIST CHURCH,2908,1218,1690,,primary 2026,https://www.fortbendcountytx.gov/sites/default/files/document-central/document-central/elections-documents/elections-results/2026/Early-Voting-by-Personal-Appearance-Statistics_9.xlsx
Fort Bend,CHASEWOOD CLUBHOUSE,2896,2824,72,,primary 2026,https://www.fortbendcountytx.gov/sites/default/files/document-central/document-central/elections-documents/elections-results/2026/Early-Voting-by-Personal-Appearance-Statistics_9.xlsx
Dallas,MLK Jr Branch Library,2887,2823,64,,primary 2026,https://www.dallascountyvotes.org/wp-content/uploads/2026/02/Early-Voting-Turnout-By-Date-Location-Party-Report_02.28.26.xlsx
Collin,Collin College McKinney Campus,2879,1376,,yes,Dem primary only; total est. x2.09,talarico-archive tag
Bexar,San Antonio College,2872,2509,363,,primary 2026,https://earlyvotecounts.bexar.org/ (Wayback capture http://web.archive.org/web/20260306200258/https://earlyvotecounts.bexar.org/)
Denton,Little Elm Town Hall,2870,,,yes,Nov 2024 general x0.31,votedenton.gov 1124_11-01_ev_by_day_poll_pad.pdf
Bexar,Bexar County Justice Center,2868,2193,675,,primary 2026,https://earlyvotecounts.bexar.org/ (Wayback capture http://web.archive.org/web/20260306200258/https://earlyvotecounts.bexar.org/)
Travis,RRISD Hartfield Performing Arts Center,2851,2393,458,,primary 2026,https://votetravis.gov/wp-content/uploads/P26-Daily-Totals-1.zip
Bexar,Thousand Oaks Branch Library,2849,1990,859,,primary 2026,https://earlyvotecounts.bexar.org/ (Wayback capture http://web.archive.org/web/20260306200258/https://earlyvotecounts.bexar.org/)
Dallas,Addison Town Hall,2849,1969,880,,primary 2026,https://www.dallascountyvotes.org/wp-content/uploads/2026/02/Early-Voting-Turnout-By-Date-Location-Party-Report_02.28.26.xlsx
Hidalgo,Elsa Municipal Court,2849,2602,247,,primary 2026,https://www.hidalgocounty.us/DocumentCenter/View/72057/EV-SUBS
